simulation_id,location,altitude_m,latitude_deg,longitude_deg,length_m,width_m,height_m,floor_area_m2,volume_m3,orientation_deg,wall_material,wall_thickness_m,wall_insulation_material,wall_insulation_thickness_m,roof_material,roof_thickness_m,roof_insulation_material,roof_insulation_thickness_m,floor_material,floor_thickness_m,glazing_area_m2,glazing_ratio,glazing_type,window_orientation_deg,night_shutter,shutter_R_m2K_W,roof_emissivity,ach,occupants,internal_gain_W,heater_type,combustion_heater_present,capital_cost_inr,cost_basis,overall_U_value_W_m2K,overall_R_value_m2K_W,thermal_mass_J_K,air_pressure_Pa,air_density_kg_m3
SIM_000203,Depsang,5330.0,35.3167,78.0167,5.9,4.3,2.5,25.37,63.43,171.5,stone_masonry,0.32,rockwool,0.129,pu_sandwich_panel,0.13,none,0.0,stone_floor,0.19,0.94,0.0184,single_pane,180.0,0,0.0,0.59,1.82,5,500.0,none,False,212148.0,SOURCED,1.1709,0.854,43026524.4,51679.8,0.6842
SIM_000204,Kargil,2676.0,34.5539,76.1349,5.1,4.6,3.1,23.46,72.73,161.1,stone_masonry,0.44,eps,0.095,concrete,0.18,none,0.0,stone_floor,0.19,0.61,0.0101,double_pane,180.0,1,0.5,0.59,2.54,9,900.0,electric,False,226193.0,SOURCED,1.8304,0.5463,72258522.3,73045.7,0.967
SIM_000205,Leh,3500.0,34.1526,77.5771,6.0,5.7,2.4,34.2,82.08,210.0,dense_concrete,0.16,eps,0.074,pu_sandwich_panel,0.08,none,0.0,stone_floor,0.1,5.83,0.1038,single_pane,180.0,0,0.0,0.85,4.17,8,800.0,flued_stove,False,174812.0,SOURCED,1.7761,0.563,26144328.3,65764.1,0.8706
SIM_000206,Dras,3280.0,34.4293,75.7533,9.0,4.7,2.5,42.3,105.75,198.3,rammed_earth,0.3,straw_bale,0.028,cgi_sheet,0.002,none,0.0,dense_concrete,0.23,9.27,0.1353,single_pane,180.0,0,0.0,0.73,0.12,6,600.0,unflued_combustion,True,159717.0,SOURCED,3.3642,0.2972,55101192.3,67647.9,0.8956
SIM_000207,Siachen,5400.0,35.4212,77.1095,8.2,5.7,2.9,46.74,135.55,207.5,dense_concrete,0.3,eps,0.079,pu_sandwich_panel,0.08,none,0.0,stone_floor,0.22,7.38,0.0915,single_pane,180.0,1,0.5,0.68,2.54,7,700.0,flued_stove,False,391779.0,SOURCED,1.272,0.7862,72890777.3,51194.2,0.6777
SIM_000208,Daulat Beg Oldie,5065.0,35.4057,77.9297,8.3,5.6,2.7,46.48,125.5,158.9,pu_sandwich_panel,0.06,none,0.0,cgi_sheet,0.002,none,0.0,stone_floor,0.2,2.35,0.0313,triple_pane,180.0,0,0.0,0.74,3.13,17,1700.0,electric,False,167496.0,SOURCED,2.8331,0.353,20435763.4,53552.3,0.709
SIM_000209,Galwan,4300.0,34.75,78.25,7.0,4.9,2.6,34.3,89.18,195.4,dense_concrete,0.14,straw_bale,0.126,concrete,0.17,rockwool,0.038,stone_floor,0.23,5.18,0.0837,double_pane,180.0,0,0.0,0.31,4.08,4,400.0,flued_stove,False,214628.0,SOURCED,1.453,0.6882,49970252.2,59268.2,0.7846
SIM_000210,Hanle,4500.0,32.7784,78.9642,4.6,3.6,2.9,16.56,48.02,202.2,dense_concrete,0.16,rockwool,0.123,pu_sandwich_panel,0.08,none,0.0,dense_concrete,0.15,1.72,0.0362,single_pane,180.0,0,0.0,0.66,2.44,4,400.0,electric,False,150682.0,SOURCED,1.1452,0.8732,22920731.1,57728.3,0.7642
SIM_000211,Nyoma,4180.0,33.1958,78.6508,6.4,3.7,3.2,23.68,75.78,175.2,mud_brick,0.22,eps,0.025,cgi_sheet,0.002,rockwool,0.111,dense_concrete,0.11,3.99,0.0617,double_pane,180.0,0,0.0,0.3,2.16,6,600.0,flued_stove,False,116423.0,SOURCED,1.5591,0.6414,26349233.2,60207.9,0.7971
SIM_000212,Chushul,4350.0,33.5936,78.6543,9.1,3.1,2.5,28.21,70.53,81.1,rammed_earth,0.27,straw_bale,0.123,concrete,0.19,none,0.0,stone_floor,0.25,2.29,0.0375,double_pane,180.0,0,0.0,0.58,3.99,5,500.0,unflued_combustion,True,152273.0,SOURCED,1.9647,0.509,57332463.9,58880.1,0.7795
SIM_000213,Rezang La,5000.0,33.425,78.8472,9.4,5.1,2.7,47.94,129.44,209.2,dense_concrete,0.16,none,0.0,pu_sandwich_panel,0.09,none,0.0,dense_concrete,0.15,6.71,0.0857,single_pane,180.0,0,0.0,0.37,3.2,3,300.0,flued_stove,False,247098.0,SOURCED,2.9383,0.3403,43219067.1,54019.9,0.7151
SIM_000214,Pangong,4250.0,33.7595,78.6674,8.0,4.8,3.2,38.4,122.88,337.9,stone_masonry,0.46,eps,0.028,pu_sandwich_panel,0.11,none,0.0,dense_concrete,0.12,5.66,0.0691,triple_pane,180.0,1,0.5,0.53,3.4,10,1000.0,unflued_combustion,True,338018.0,SOURCED,1.5249,0.6558,81727686.6,59658.3,0.7898
SIM_000215,Depsang,5330.0,35.3167,78.0167,4.1,4.6,2.8,18.86,52.81,178.3,dense_concrete,0.24,straw_bale,0.106,concrete,0.15,none,0.0,dense_concrete,0.18,1.56,0.032,single_pane,180.0,0,0.0,0.74,4.01,3,300.0,unflued_combustion,True,161371.0,SOURCED,2.0553,0.4865,41373164.0,51679.8,0.6842
SIM_000216,Kargil,2676.0,34.5539,76.1349,6.5,3.7,2.7,24.05,64.94,22.2,dense_concrete,0.3,rockwool,0.049,pu_sandwich_panel,0.15,none,0.0,dense_concrete,0.1,4.8,0.0871,double_pane,180.0,1,0.5,0.77,1.96,9,900.0,electric,False,257715.0,SOURCED,1.4155,0.7065,40589164.4,73045.7,0.967
SIM_000217,Leh,3500.0,34.1526,77.5771,7.8,3.3,2.9,25.74,74.65,155.7,stone_masonry,0.26,straw_bale,0.101,pu_sandwich_panel,0.06,none,0.0,dense_concrete,0.17,3.85,0.0598,triple_pane,180.0,1,0.5,0.5,0.47,4,400.0,unflued_combustion,True,181985.0,SOURCED,1.244,0.8039,43154023.2,65764.1,0.8706
SIM_000218,Dras,3280.0,34.4293,75.7533,4.1,3.0,2.7,12.3,33.21,176.1,mud_brick,0.43,none,0.0,cgi_sheet,0.002,eps,0.043,stone_floor,0.23,2.43,0.0634,double_pane,180.0,1,0.5,0.57,2.67,1,100.0,flued_stove,False,91505.0,SOURCED,1.6484,0.6066,29252313.9,67647.9,0.8956
SIM_000219,Siachen,5400.0,35.4212,77.1095,5.1,5.4,2.7,27.54,74.36,180.8,stone_masonry,0.24,none,0.0,concrete,0.13,rockwool,0.115,dense_concrete,0.2,4.74,0.0836,double_pane,180.0,1,0.5,0.22,2.78,8,800.0,none,False,184227.0,SOURCED,2.657,0.3764,46221530.8,51194.2,0.6777
SIM_000220,Daulat Beg Oldie,5065.0,35.4057,77.9297,5.2,5.2,2.6,27.04,70.3,186.6,rammed_earth,0.43,rockwool,0.053,pu_sandwich_panel,0.15,none,0.0,dense_concrete,0.17,1.94,0.0359,single_pane,180.0,1,0.5,0.47,3.72,7,700.0,electric,False,186996.0,SOURCED,1.2539,0.7975,51317648.5,53552.3,0.709
SIM_000221,Galwan,4300.0,34.75,78.25,6.4,5.0,2.9,32.0,92.8,192.7,stone_masonry,0.23,eps,0.072,cgi_sheet,0.002,none,0.0,stone_floor,0.22,3.96,0.0599,single_pane,180.0,0,0.0,0.6,4.4,4,400.0,flued_stove,False,162376.0,SOURCED,2.7183,0.3679,44251785.0,59268.2,0.7846
SIM_000222,Hanle,4500.0,32.7784,78.9642,4.8,3.3,2.9,15.84,45.94,78.6,dense_concrete,0.29,rockwool,0.146,pu_sandwich_panel,0.14,none,0.0,stone_floor,0.14,2.53,0.0539,double_pane,180.0,1,0.5,0.48,3.62,3,300.0,electric,False,226091.0,SOURCED,1.0454,0.9566,34781681.8,57728.3,0.7642
SIM_000223,Nyoma,4180.0,33.1958,78.6508,5.7,4.6,3.0,26.22,78.66,181.6,mud_brick,0.48,none,0.0,concrete,0.13,none,0.0,dense_concrete,0.12,5.01,0.0811,single_pane,180.0,0,0.0,0.45,1.39,8,800.0,electric,False,151384.0,SOURCED,2.7653,0.3616,55919273.7,60207.9,0.7971
SIM_000224,Chushul,4350.0,33.5936,78.6543,8.9,3.0,3.0,26.7,80.1,164.9,mud_brick,0.27,rockwool,0.068,pu_sandwich_panel,0.07,none,0.0,dense_concrete,0.2,7.11,0.0996,single_pane,180.0,0,0.0,0.23,1.89,9,900.0,none,False,178464.0,SOURCED,1.3687,0.7306,38593697.5,58880.1,0.7795
SIM_000225,Rezang La,5000.0,33.425,78.8472,4.2,4.8,2.8,20.16,56.45,179.6,dense_concrete,0.16,none,0.0,cgi_sheet,0.002,none,0.0,dense_concrete,0.12,4.33,0.0859,single_pane,180.0,0,0.0,0.2,0.93,5,500.0,flued_stove,False,99306.0,SOURCED,4.4529,0.2246,22709448.3,54019.9,0.7151
SIM_000226,Pangong,4250.0,33.7595,78.6674,9.5,4.6,2.9,43.7,126.73,293.0,mud_brick,0.27,rockwool,0.136,pu_sandwich_panel,0.14,none,0.0,dense_concrete,0.19,2.49,0.0304,single_pane,180.0,0,0.0,0.77,4.4,3,300.0,none,False,322075.0,SOURCED,1.1682,0.856,52001703.2,59658.3,0.7898
SIM_000227,Depsang,5330.0,35.3167,78.0167,5.2,4.0,2.5,20.8,52.0,188.5,mud_brick,0.45,rockwool,0.03,concrete,0.18,eps,0.107,dense_concrete,0.15,3.97,0.0863,single_pane,180.0,1,0.5,0.6,1.63,2,200.0,electric,False,153300.0,SOURCED,1.3802,0.7245,44246285.9,51679.8,0.6842
SIM_000228,Kargil,2676.0,34.5539,76.1349,7.9,4.9,2.7,38.71,104.52,151.7,rammed_earth,0.47,none,0.0,concrete,0.11,rockwool,0.143,stone_floor,0.12,7.65,0.1107,double_pane,180.0,1,0.5,0.85,4.44,12,1200.0,unflued_combustion,True,220612.0,SOURCED,2.0438,0.4893,71993067.6,73045.7,0.967
SIM_000229,Leh,3500.0,34.1526,77.5771,8.3,5.3,3.1,43.99,136.37,205.3,mud_brick,0.49,none,0.0,concrete,0.12,eps,0.067,stone_floor,0.21,5.92,0.0702,double_pane,180.0,0,0.0,0.6,1.69,8,800.0,none,False,275734.0,SOURCED,1.7048,0.5866,89464589.0,65764.1,0.8706
SIM_000230,Dras,3280.0,34.4293,75.7533,6.1,3.8,2.6,23.18,60.27,184.4,stone_masonry,0.41,eps,0.112,pu_sandwich_panel,0.1,none,0.0,dense_concrete,0.15,6.63,0.1288,double_pane,180.0,0,0.0,0.86,0.7,3,300.0,flued_stove,False,214105.0,SOURCED,1.3096,0.7636,45428179.3,67647.9,0.8956
SIM_000231,Siachen,5400.0,35.4212,77.1095,7.5,5.4,2.9,40.5,117.45,174.5,rammed_earth,0.31,rockwool,0.029,concrete,0.12,none,0.0,stone_floor,0.24,3.95,0.0528,double_pane,180.0,1,0.5,0.8,3.49,10,1000.0,unflued_combustion,True,199534.0,SOURCED,2.4004,0.4166,71541324.8,51194.2,0.6777
SIM_000232,Daulat Beg Oldie,5065.0,35.4057,77.9297,8.0,3.9,3.0,31.2,93.6,287.0,pu_sandwich_panel,0.1,none,0.0,pu_sandwich_panel,0.11,none,0.0,stone_floor,0.17,4.1,0.0574,single_pane,180.0,1,0.5,0.54,1.6,1,100.0,flued_stove,False,218951.0,SOURCED,1.1249,0.889,11906761.8,53552.3,0.709
SIM_000233,Galwan,4300.0,34.75,78.25,9.8,5.1,2.7,49.98,134.95,205.3,rammed_earth,0.42,eps,0.031,cgi_sheet,0.002,none,0.0,stone_floor,0.17,8.24,0.1024,double_pane,180.0,1,0.5,0.73,2.58,19,1900.0,flued_stove,False,210812.0,SOURCED,3.0716,0.3256,73212615.0,59268.2,0.7846
SIM_000234,Hanle,4500.0,32.7784,78.9642,6.0,4.5,2.5,27.0,67.5,168.3,mud_brick,0.37,eps,0.055,pu_sandwich_panel,0.09,none,0.0,dense_concrete,0.16,2.92,0.0556,double_pane,180.0,0,0.0,0.86,1.26,5,500.0,none,False,165891.0,SOURCED,1.3318,0.7509,37662887.0,57728.3,0.7642
SIM_000235,Nyoma,4180.0,33.1958,78.6508,6.4,3.3,3.1,21.12,65.47,148.9,stone_masonry,0.31,rockwool,0.088,cgi_sheet,0.002,rockwool,0.103,stone_floor,0.12,6.67,0.1109,double_pane,180.0,0,0.0,0.32,0.85,2,200.0,none,False,179102.0,SOURCED,1.3498,0.7409,39290234.7,60207.9,0.7971
SIM_000236,Chushul,4350.0,33.5936,78.6543,7.0,4.0,3.2,28.0,89.6,202.6,pu_sandwich_panel,0.14,none,0.0,pu_sandwich_panel,0.08,none,0.0,dense_concrete,0.19,8.97,0.1274,single_pane,180.0,0,0.0,0.72,2.35,4,400.0,none,False,240458.0,SOURCED,1.3439,0.7441,12913242.3,58880.1,0.7795
SIM_000237,Rezang La,5000.0,33.425,78.8472,7.1,5.6,2.8,39.76,111.33,206.1,mud_brick,0.44,rockwool,0.092,cgi_sheet,0.002,rockwool,0.137,stone_floor,0.21,8.18,0.115,double_pane,180.0,0,0.0,0.44,1.3,3,300.0,none,False,275074.0,SOURCED,1.3132,0.7615,60003362.0,54019.9,0.7151
SIM_000238,Pangong,4250.0,33.7595,78.6674,5.4,4.2,2.8,22.68,63.5,321.7,pu_sandwich_panel,0.14,none,0.0,pu_sandwich_panel,0.12,none,0.0,stone_floor,0.14,6.52,0.1213,double_pane,180.0,1,0.5,0.41,1.5,9,900.0,flued_stove,False,213535.0,SOURCED,1.1538,0.8667,7320476.6,59658.3,0.7898
SIM_000239,Depsang,5330.0,35.3167,78.0167,5.4,5.7,3.0,30.78,92.34,306.0,dense_concrete,0.22,none,0.0,concrete,0.2,eps,0.141,stone_floor,0.2,7.09,0.1065,single_pane,180.0,0,0.0,0.24,0.86,4,400.0,unflued_combustion,True,247023.0,SOURCED,2.8352,0.3527,57567750.9,51679.8,0.6842
SIM_000240,Kargil,2676.0,34.5539,76.1349,8.3,4.0,2.5,33.2,83.0,157.8,mud_brick,0.49,none,0.0,cgi_sheet,0.002,rockwool,0.13,dense_concrete,0.23,4.46,0.0725,double_pane,180.0,1,0.5,0.67,3.75,10,1000.0,none,False,221973.0,SOURCED,1.5158,0.6597,59878688.0,73045.7,0.967
SIM_000241,Leh,3500.0,34.1526,77.5771,9.3,3.8,2.7,35.34,95.42,183.5,stone_masonry,0.44,rockwool,0.096,pu_sandwich_panel,0.1,none,0.0,stone_floor,0.11,9.98,0.1411,triple_pane,180.0,0,0.0,0.37,1.75,11,1100.0,electric,False,326136.0,SOURCED,1.4154,0.7065,62673852.3,65764.1,0.8706
SIM_000242,Dras,3280.0,34.4293,75.7533,8.6,3.8,2.4,32.68,78.43,192.8,stone_masonry,0.3,rockwool,0.108,pu_sandwich_panel,0.13,none,0.0,stone_floor,0.16,8.27,0.1389,triple_pane,180.0,1,0.5,0.28,3.36,1,100.0,unflued_combustion,True,292836.0,SOURCED,1.2785,0.7822,42638873.2,67647.9,0.8956
SIM_000243,Siachen,5400.0,35.4212,77.1095,6.7,4.2,2.5,28.14,70.35,176.1,mud_brick,0.36,eps,0.085,cgi_sheet,0.002,none,0.0,stone_floor,0.25,4.51,0.0828,triple_pane,180.0,0,0.0,0.66,3.89,4,400.0,unflued_combustion,True,175693.0,SOURCED,2.5683,0.3894,42279339.0,51194.2,0.6777
SIM_000244,Daulat Beg Oldie,5065.0,35.4057,77.9297,4.3,4.7,2.9,20.21,58.61,74.6,dense_concrete,0.27,rockwool,0.028,pu_sandwich_panel,0.1,none,0.0,stone_floor,0.17,0.98,0.0188,single_pane,180.0,0,0.0,0.21,4.42,6,600.0,unflued_combustion,True,191656.0,SOURCED,1.4875,0.6723,39321242.6,53552.3,0.709
SIM_000245,Galwan,4300.0,34.75,78.25,7.7,4.5,3.2,34.65,110.88,176.1,mud_brick,0.32,none,0.0,pu_sandwich_panel,0.1,none,0.0,dense_concrete,0.21,7.73,0.099,single_pane,180.0,0,0.0,0.21,2.59,2,200.0,none,False,208576.0,SOURCED,1.9639,0.5092,50695375.9,59268.2,0.7846
SIM_000246,Hanle,4500.0,32.7784,78.9642,7.1,3.2,3.0,22.72,68.16,183.0,dense_concrete,0.16,straw_bale,0.118,pu_sandwich_panel,0.07,none,0.0,dense_concrete,0.13,3.88,0.0628,double_pane,180.0,1,0.5,0.77,4.4,3,300.0,unflued_combustion,True,167121.0,SOURCED,1.2555,0.7965,29602496.1,57728.3,0.7642
SIM_000247,Nyoma,4180.0,33.1958,78.6508,8.5,5.6,2.6,47.6,123.76,196.7,stone_masonry,0.37,none,0.0,cgi_sheet,0.002,eps,0.095,stone_floor,0.15,5.93,0.0809,triple_pane,180.0,1,0.5,0.72,4.08,9,900.0,unflued_combustion,True,262061.0,SOURCED,2.4701,0.4048,66053885.4,60207.9,0.7971
SIM_000248,Chushul,4350.0,33.5936,78.6543,7.4,4.2,2.7,31.08,83.92,160.0,stone_masonry,0.22,rockwool,0.066,concrete,0.19,none,0.0,stone_floor,0.12,0.42,0.0067,single_pane,180.0,0,0.0,0.49,2.5,10,1000.0,electric,False,165894.0,SOURCED,2.2444,0.4456,49334487.6,58880.1,0.7795
SIM_000249,Rezang La,5000.0,33.425,78.8472,8.1,4.7,3.1,38.07,118.02,178.9,dense_concrete,0.18,eps,0.061,concrete,0.14,none,0.0,stone_floor,0.16,3.2,0.0403,triple_pane,180.0,1,0.5,0.32,3.61,9,900.0,unflued_combustion,True,261831.0,SOURCED,2.2363,0.4472,56980002.6,54019.9,0.7151
SIM_000250,Pangong,4250.0,33.7595,78.6674,5.6,3.4,2.7,19.04,51.41,154.8,rammed_earth,0.34,eps,0.098,cgi_sheet,0.002,none,0.0,stone_floor,0.17,0.7,0.0144,single_pane,180.0,1,0.5,0.68,1.21,7,700.0,electric,False,99047.0,SOURCED,2.3481,0.4259,36540672.9,59658.3,0.7898
SIM_000251,Depsang,5330.0,35.3167,78.0167,8.6,3.2,2.7,27.52,74.3,188.1,rammed_earth,0.37,eps,0.127,cgi_sheet,0.002,eps,0.112,dense_concrete,0.14,2.09,0.0328,triple_pane,180.0,0,0.0,0.66,0.62,1,100.0,electric,False,177045.0,SOURCED,1.1622,0.8604,50546003.8,51679.8,0.6842
SIM_000252,Kargil,2676.0,34.5539,76.1349,4.1,5.1,2.5,20.91,52.27,200.3,mud_brick,0.21,eps,0.074,concrete,0.15,eps,0.111,dense_concrete,0.19,1.96,0.0426,double_pane,180.0,1,0.5,0.25,3.89,5,500.0,unflued_combustion,True,133656.0,SOURCED,1.1649,0.8584,30433328.9,73045.7,0.967
SIM_000253,Leh,3500.0,34.1526,77.5771,7.9,4.7,2.6,37.13,96.54,203.4,dense_concrete,0.3,none,0.0,cgi_sheet,0.002,none,0.0,dense_concrete,0.18,3.82,0.0583,double_pane,180.0,0,0.0,0.23,0.38,4,400.0,unflued_combustion,True,246096.0,SOURCED,3.905,0.2561,58307317.4,65764.1,0.8706
SIM_000254,Dras,3280.0,34.4293,75.7533,8.0,4.9,3.0,39.2,117.6,161.1,mud_brick,0.48,eps,0.078,concrete,0.12,rockwool,0.117,stone_floor,0.18,1.54,0.0199,single_pane,180.0,1,0.5,0.71,0.95,1,100.0,electric,False,279052.0,SOURCED,1.2283,0.8141,80784614.4,67647.9,0.8956
SIM_000255,Siachen,5400.0,35.4212,77.1095,7.9,5.0,2.7,39.5,106.65,89.4,pu_sandwich_panel,0.11,none,0.0,concrete,0.16,none,0.0,stone_floor,0.21,8.99,0.1291,double_pane,180.0,0,0.0,0.6,0.94,5,500.0,none,False,255467.0,SOURCED,2.2378,0.4469,32609244.0,51194.2,0.6777
SIM_000256,Daulat Beg Oldie,5065.0,35.4057,77.9297,6.0,5.3,3.1,31.8,98.58,248.2,mud_brick,0.44,eps,0.103,concrete,0.19,rockwool,0.12,dense_concrete,0.15,1.05,0.015,double_pane,180.0,1,0.5,0.35,3.71,2,200.0,none,False,261306.0,SOURCED,1.1577,0.8638,70765622.6,53552.3,0.709
SIM_000257,Galwan,4300.0,34.75,78.25,6.8,4.3,3.0,29.24,87.72,265.7,pu_sandwich_panel,0.13,none,0.0,cgi_sheet,0.002,eps,0.06,stone_floor,0.16,0.2,0.003,triple_pane,180.0,1,0.5,0.63,0.34,6,600.0,unflued_combustion,True,193726.0,SOURCED,1.1651,0.8583,10774516.3,59268.2,0.7846
SIM_000258,Hanle,4500.0,32.7784,78.9642,7.0,3.1,2.9,21.7,62.93,170.3,mud_brick,0.22,none,0.0,pu_sandwich_panel,0.07,none,0.0,stone_floor,0.15,7.14,0.1219,triple_pane,180.0,1,0.5,0.31,0.76,8,800.0,none,False,149060.0,SOURCED,2.0838,0.4799,23980205.7,57728.3,0.7642
SIM_000259,Nyoma,4180.0,33.1958,78.6508,7.2,3.4,3.2,24.48,78.34,330.3,rammed_earth,0.48,rockwool,0.105,concrete,0.13,rockwool,0.035,stone_floor,0.16,2.71,0.0399,double_pane,180.0,0,0.0,0.26,2.21,4,400.0,none,False,194408.0,SOURCED,1.2513,0.7992,72288071.5,60207.9,0.7971
SIM_000260,Chushul,4350.0,33.5936,78.6543,5.6,5.5,3.0,30.8,92.4,63.9,dense_concrete,0.18,eps,0.046,cgi_sheet,0.002,rockwool,0.037,stone_floor,0.17,5.21,0.0782,triple_pane,180.0,1,0.5,0.64,2.64,3,300.0,electric,False,214488.0,SOURCED,1.5085,0.6629,36989761.5,58880.1,0.7795
SIM_000261,Rezang La,5000.0,33.425,78.8472,4.4,3.2,2.8,14.08,39.42,161.2,stone_masonry,0.29,none,0.0,pu_sandwich_panel,0.11,none,0.0,stone_floor,0.11,0.62,0.0146,single_pane,180.0,1,0.5,0.89,4.24,5,500.0,electric,False,96319.0,SOURCED,2.9046,0.3443,27926069.2,54019.9,0.7151
SIM_000262,Pangong,4250.0,33.7595,78.6674,5.6,5.9,2.9,33.04,95.82,209.9,pu_sandwich_panel,0.15,none,0.0,concrete,0.17,rockwool,0.1,stone_floor,0.23,0.07,0.001,triple_pane,180.0,0,0.0,0.75,1.85,9,900.0,none,False,283744.0,SOURCED,1.0378,0.9636,29835901.9,59658.3,0.7898
SIM_000263,Depsang,5330.0,35.3167,78.0167,7.7,3.0,2.7,23.1,62.37,192.9,rammed_earth,0.38,none,0.0,cgi_sheet,0.002,none,0.0,stone_floor,0.25,5.53,0.0957,triple_pane,180.0,0,0.0,0.46,2.75,8,800.0,none,False,136742.0,SOURCED,3.1942,0.3131,48226732.4,51679.8,0.6842
SIM_000264,Kargil,2676.0,34.5539,76.1349,6.9,5.8,2.9,40.02,116.06,167.0,dense_concrete,0.16,none,0.0,cgi_sheet,0.002,none,0.0,dense_concrete,0.16,7.39,0.1003,triple_pane,180.0,0,0.0,0.25,0.33,12,1200.0,unflued_combustion,True,212289.0,SOURCED,4.2438,0.2356,39527180.9,73045.7,0.967
SIM_000265,Leh,3500.0,34.1526,77.5771,5.8,3.0,2.7,17.4,46.98,205.6,pu_sandwich_panel,0.1,none,0.0,cgi_sheet,0.002,eps,0.099,stone_floor,0.19,1.81,0.0381,single_pane,180.0,0,0.0,0.58,3.03,1,100.0,electric,False,116721.0,SOURCED,1.1272,0.8872,7512914.3,65764.1,0.8706
SIM_000266,Dras,3280.0,34.4293,75.7533,7.9,4.5,2.7,35.55,95.99,197.7,rammed_earth,0.25,rockwool,0.027,pu_sandwich_panel,0.07,none,0.0,stone_floor,0.13,8.56,0.1278,double_pane,180.0,1,0.5,0.23,3.69,8,800.0,none,False,172022.0,SOURCED,1.643,0.6086,36390010.0,67647.9,0.8956
SIM_000267,Siachen,5400.0,35.4212,77.1095,5.2,3.9,2.5,20.28,50.7,206.9,dense_concrete,0.29,eps,0.032,cgi_sheet,0.002,none,0.0,stone_floor,0.22,4.68,0.1029,double_pane,180.0,0,0.0,0.77,2.86,2,200.0,unflued_combustion,True,169811.0,SOURCED,2.7824,0.3594,36939948.0,51194.2,0.6777
SIM_000268,Daulat Beg Oldie,5065.0,35.4057,77.9297,5.3,4.9,3.2,25.97,83.1,195.9,mud_brick,0.37,none,0.0,concrete,0.12,none,0.0,stone_floor,0.12,5.85,0.0896,triple_pane,180.0,0,0.0,0.54,1.64,6,600.0,unflued_combustion,True,160170.0,SOURCED,2.7261,0.3668,46744975.0,53552.3,0.709
SIM_000269,Galwan,4300.0,34.75,78.25,5.4,3.2,2.7,17.28,46.66,194.6,rammed_earth,0.21,none,0.0,cgi_sheet,0.002,eps,0.119,dense_concrete,0.21,4.91,0.1057,triple_pane,180.0,1,0.5,0.53,3.55,1,100.0,none,False,113241.0,SOURCED,2.3671,0.4225,24282734.2,59268.2,0.7846
SIM_000270,Hanle,4500.0,32.7784,78.9642,4.7,3.4,2.7,15.98,43.15,174.8,pu_sandwich_panel,0.13,none,0.0,pu_sandwich_panel,0.09,none,0.0,stone_floor,0.15,0.62,0.0142,double_pane,180.0,0,0.0,0.65,1.69,5,500.0,none,False,134586.0,SOURCED,1.0404,0.9612,5521216.4,57728.3,0.7642
SIM_000271,Nyoma,4180.0,33.1958,78.6508,4.4,5.6,3.0,24.64,73.92,184.8,rammed_earth,0.5,eps,0.028,pu_sandwich_panel,0.06,none,0.0,dense_concrete,0.15,5.09,0.0848,single_pane,180.0,1,0.5,0.3,4.37,3,300.0,flued_stove,False,150991.0,SOURCED,1.4196,0.7044,58115615.7,60207.9,0.7971
SIM_000272,Chushul,4350.0,33.5936,78.6543,8.7,3.3,2.8,28.71,80.39,47.7,stone_masonry,0.27,straw_bale,0.04,concrete,0.15,eps,0.139,dense_concrete,0.18,3.12,0.0464,single_pane,180.0,1,0.5,0.68,3.65,9,900.0,electric,False,198841.0,SOURCED,1.5353,0.6513,57381077.9,58880.1,0.7795
SIM_000273,Rezang La,5000.0,33.425,78.8472,7.0,3.1,2.7,21.7,58.59,165.2,mud_brick,0.34,none,0.0,pu_sandwich_panel,0.08,none,0.0,stone_floor,0.17,3.46,0.0634,triple_pane,180.0,0,0.0,0.66,1.91,6,600.0,none,False,137007.0,SOURCED,1.8183,0.55,33959781.9,54019.9,0.7151
SIM_000274,Pangong,4250.0,33.7595,78.6674,4.3,5.3,3.2,22.79,72.93,210.1,dense_concrete,0.18,eps,0.073,pu_sandwich_panel,0.14,none,0.0,dense_concrete,0.24,3.64,0.0592,triple_pane,180.0,1,0.5,0.53,3.4,6,600.0,unflued_combustion,True,249044.0,SOURCED,1.003,0.997,36893518.2,59658.3,0.7898
SIM_000275,Depsang,5330.0,35.3167,78.0167,6.8,5.6,2.9,38.08,110.43,154.6,dense_concrete,0.23,rockwool,0.096,concrete,0.11,eps,0.076,stone_floor,0.23,8.16,0.1135,double_pane,180.0,0,0.0,0.53,1.95,4,400.0,unflued_combustion,True,320618.0,SOURCED,1.324,0.7553,62398901.2,51679.8,0.6842
SIM_000276,Kargil,2676.0,34.5539,76.1349,6.3,5.4,2.5,34.02,85.05,185.7,pu_sandwich_panel,0.1,none,0.0,cgi_sheet,0.002,eps,0.041,dense_concrete,0.2,5.79,0.099,triple_pane,180.0,1,0.5,0.79,0.63,12,1200.0,none,False,212965.0,SOURCED,1.2947,0.7724,16330592.4,73045.7,0.967
SIM_000277,Leh,3500.0,34.1526,77.5771,7.5,5.2,2.6,39.0,101.4,151.6,dense_concrete,0.18,eps,0.119,pu_sandwich_panel,0.14,none,0.0,stone_floor,0.25,8.32,0.126,double_pane,180.0,0,0.0,0.47,0.87,3,300.0,none,False,329684.0,SOURCED,1.2424,0.8049,45249715.9,65764.1,0.8706
